pos,vertex,degree,p_size,cliques,seconds
539,93275,1,1,1,3.3050018828362226e-06
540,101467,1,1,1,2.587999915704131e-06
541,126045,1,1,1,2.130000211764127e-06
542,27743,1,1,1,1.7900019884109497e-06
543,3169,1,1,1,2.6369998522568494e-06
544,104523,1,0,0,1.1000010999850929e-06
545,85104,1,1,1,1.7599995771888644e-06
546,29422,1,0,0,1.0660005500540137e-06
547,35954,1,1,1,1.8459977582097054e-06
548,35958,1,1,1,2.0260013116057962e-06
549,109696,1,1,1,2.2320018615573645e-06
550,52357,1,1,1,1.8719983927439898e-06
551,6446,1,0,0,1.0779986041598022e-06
552,52361,1,1,1,1.7749989638105035e-06
553,3210,1,1,1,1.9229992176406085e-06
554,56169,1,0,0,1.1629999789875e-06
555,68750,1,1,1,1.6499980119988322e-06
556,60560,1,1,1,1.957003405550495e-06
557,101521,1,1,1,1.7399979697074741e-06
558,36475,1,0,0,1.0299991117790341e-06
559,126103,1,1,1,1.9380022422410548e-06
560,126106,1,1,1,2.164000761695206e-06
561,3235,1,1,1,2.311000571353361e-06
562,36015,1,1,1,1.6900012269616127e-06
563,36016,1,1,1,1.9239996618125588e-06
564,63676,1,0,0,1.1109987099189311e-06
565,36029,1,1,1,2.0359984773676842e-06
566,44239,1,1,1,1.8409991753287613e-06
567,30016,1,0,0,1.0760013537947088e-06
568,109781,1,1,1,1.8380014807917178e-06
569,93406,1,1,1,2.1460000425577164e-06
570,36062,1,1,1,2.605996996862814e-06
571,109792,1,1,1,1.987998984986916e-06
572,109793,1,1,1,1.995998900383711e-06
573,109796,1,1,1,1.4760007616132498e-06
574,101612,1,1,1,1.7620004655327648e-06
575,3329,1,1,1,1.5619989426340908e-06
576,102759,1,0,0,1.0140029189642519e-06
577,60676,1,1,1,2.0699990272987634e-06
578,118024,1,1,1,1.8040009308606386e-06
579,111419,1,0,0,1.0909971024375409e-06
580,11530,1,1,1,1.8139980966225266e-06
581,11552,1,1,1,1.8410028133075684e-06
582,63674,1,0,0,1.2109994713682681e-06
583,52527,1,1,1,1.8279970390722156e-06
584,118067,1,1,1,1.8329992599319667e-06
585,85568,1,0,0,1.0460025805514306e-06
586,36150,1,1,1,1.9809995137620717e-06
587,65260,1,0,0,1.095999323297292e-06
588,68931,1,1,1,1.7789971025194973e-06
589,93518,1,1,1,2.519998815841973e-06
590,93521,1,1,1,1.725002221064642e-06
591,126293,1,1,1,1.8799983081407845e-06
592,52591,1,1,1,3.5390003176871687e-06
593,77182,1,1,1,2.505999873392284e-06
594,60815,1,1,1,1.8850005290005356e-06
595,44707,1,0,0,1.1980009730905294e-06
596,11665,1,1,1,2.272001438541338e-06
597,60824,1,1,1,2.245000359835103e-06
598,93597,1,1,1,1.6830017557367682e-06
599,56796,1,0,0,1.0229996405541897e-06
600,93608,1,1,1,1.7519996617920697e-06
601,110003,1,1,1,2.1380001271609217e-06
602,85452,1,1,1,2.3139982658904046e-06
603,3534,1,1,1,2.3040011001285166e-06
604,77269,1,1,1,1.8369973986409605e-06
605,69077,1,1,1,1.7599995771888644e-06
606,19926,2,1,1,2.677999873412773e-06
607,101849,1,1,1,1.8999999156221747e-06
608,120630,1,0,0,1.071999577106908e-06
609,28130,1,1,1,1.9799990695901215e-06
610,52707,1,1,1,1.7620004655327648e-06
611,101861,1,1,1,1.739001163514331e-06
612,19944,1,1,1,1.7700003809295595e-06
613,88121,1,0,0,1.0749972716439515e-06
