pos,vertex,degree,p_size,cliques,seconds
157,33370,1,1,1,1.946000338648446e-06
158,74336,1,1,1,1.7789998310036026e-06
159,77578,2,0,0,1.4129991541267373e-06
160,74339,1,1,1,1.67500002135057e-06
161,18271,1,0,0,1.2010004866169766e-06
162,617,1,1,1,2.015000063693151e-06
163,74352,1,1,1,1.8339997041039169e-06
164,67569,1,0,0,1.0759995348053053e-06
165,17011,1,1,1,1.922000592458062e-06
166,57974,1,1,1,2.13899966183817e-06
167,57975,1,1,1,1.8939999790745787e-06
168,57978,1,1,1,1.4899997040629387e-06
169,25218,1,1,1,1.9499993868521415e-06
170,25223,1,1,1,1.7880001905723475e-06
171,59244,1,0,0,1.0109997674589977e-06
172,66187,1,1,1,1.8169994291383773e-06
173,10405,1,0,0,1.1669999366858974e-06
174,57998,1,1,1,1.764999979059212e-06
175,17049,1,1,1,2.0570005290210247e-06
176,66217,1,1,1,1.7980000848183408e-06
177,33455,1,1,1,1.743999746395275e-06
178,66225,1,1,1,1.7390002540196292e-06
179,41651,1,1,1,2.2240001271711662e-06
180,692,1,1,1,1.6389994925702922e-06
181,33461,1,1,1,1.915999746415764e-06
182,74422,1,1,1,1.8769997041090392e-06
183,694,1,1,1,1.976000021386426e-06
184,25277,1,1,1,1.6699996194802225e-06
185,702,1,1,1,1.4909992387401871e-06
186,41674,1,1,1,1.9240005713072605e-06
187,736,1,1,1,1.6439998944406398e-06
188,41697,1,1,1,1.9769995560636744e-06
189,41700,1,1,1,3.008900057466235e-05
190,41703,1,1,1,3.6499995985650457e-06
191,74475,1,1,1,2.8270005714148283e-06
192,17136,1,1,1,2.382999809924513e-06
193,17140,1,1,1,1.8990003809449263e-06
194,74489,1,1,1,2.630000381032005e-06
195,58124,1,1,1,2.1229998310445808e-06
196,58125,1,1,1,1.993999831029214e-06
197,74551,1,1,1,2.225999196525663e-06
198,33593,1,1,1,1.9120006982120685e-06
199,33597,1,1,1,1.9949993657064624e-06
200,33598,1,1,1,1.941999471455347e-06
201,74558,1,1,1,2.053999196505174e-06
202,25406,1,1,1,1.8970004020957276e-06
203,65301,1,0,0,1.327999598288443e-06
204,50013,1,1,1,1.7219999790540896e-06
205,9058,1,1,1,1.9589997464208864e-06
206,41843,1,1,1,2.0500001483014785e-06
207,889,1,1,1,1.8150003597838804e-06
208,891,1,1,1,1.7879992810776457e-06
209,17291,1,1,1,1.8159998944611289e-06
210,17292,1,1,1,2.0529996618279256e-06
211,25483,1,1,1,1.7290003597736359e-06
212,17294,1,1,1,2.151000444428064e-06
213,74643,1,1,1,1.550999513710849e-06
214,41877,1,1,1,1.948999852174893e-06
215,48337,1,0,0,1.0230005500488915e-06
