timestamp,graph,task,speed,period_us,run,seconds,steal_s
2026-09-23T00:30:54,soc-sign-epinions.txt.gz,mid,1.0,100000,1,0.9646,0.01
2026-09-23T00:30:55,soc-sign-epinions.txt.gz,light,1.0,100000,1,0.8353,0.01
2026-09-23T00:30:56,soc-sign-epinions.txt.gz,loop,0.75,100000,1,0.9154,0.00
2026-09-23T00:30:57,soc-sign-epinions.txt.gz,heavy,0.75,100000,1,0.8996,0.00
2026-09-23T00:30:58,soc-sign-epinions.txt.gz,mid,0.75,100000,1,1.2466,0.01
2026-09-23T00:30:59,soc-sign-epinions.txt.gz,light,0.75,100000,1,1.1695,0.01
2026-09-23T00:31:01,soc-sign-epinions.txt.gz,loop,0.5,100000,1,1.3124,0.01
2026-09-23T00:31:02,soc-sign-epinions.txt.gz,heavy,0.5,100000,1,1.3807,0.03
2026-09-23T00:31:04,soc-sign-epinions.txt.gz,mid,0.5,100000,1,1.9776,0.05
2026-09-23T00:31:06,soc-sign-epinions.txt.gz,light,0.5,100000,1,1.6953,0.02
2026-09-23T00:31:07,soc-sign-epinions.txt.gz,loop,0.43,100000,1,1.6041,0.02
2026-09-23T00:31:09,soc-sign-epinions.txt.gz,heavy,0.43,100000,1,1.5903,0.01
2026-09-23T00:31:11,soc-sign-epinions.txt.gz,mid,0.43,100000,1,2.2142,0.01
2026-09-23T00:31:13,soc-sign-epinions.txt.gz,light,0.43,100000,1,2.0074,0.05
2026-09-23T00:31:16,soc-sign-epinions.txt.gz,loop,0.26,100000,1,2.5909,0.02
2026-09-23T00:31:18,soc-sign-epinions.txt.gz,heavy,0.26,100000,1,2.6848,0.01
2026-09-23T00:31:22,soc-sign-epinions.txt.gz,mid,0.26,100000,1,3.7996,0.04
2026-09-23T00:31:26,soc-sign-epinions.txt.gz,light,0.26,100000,1,3.4000,0.04
2026-09-23T00:31:26,soc-sign-epinions.txt.gz,loop,1.0,100000,2,0.7119,0.02
2026-09-23T00:31:27,soc-sign-epinions.txt.gz,heavy,1.0,100000,2,0.6946,0.02
2026-09-23T00:31:28,soc-sign-epinions.txt.gz,mid,1.0,100000,2,0.9548,0.00
2026-09-23T00:31:29,soc-sign-epinions.txt.gz,light,1.0,100000,2,0.8501,0.00
2026-09-23T00:31:30,soc-sign-epinions.txt.gz,loop,0.75,100000,2,0.8962,0.00
2026-09-23T00:31:31,soc-sign-epinions.txt.gz,heavy,0.75,100000,2,0.9003,0.01
2026-09-23T00:31:32,soc-sign-epinions.txt.gz,mid,0.75,100000,2,1.2528,0.03
2026-09-23T00:31:33,soc-sign-epinions.txt.gz,light,0.75,100000,2,1.1184,0.00
2026-09-23T00:31:34,soc-sign-epinions.txt.gz,loop,0.5,100000,2,1.3334,0.00
2026-09-23T00:31:36,soc-sign-epinions.txt.gz,heavy,0.5,100000,2,1.3427,0.04
2026-09-23T00:31:38,soc-sign-epinions.txt.gz,mid,0.5,100000,2,1.9783,0.03
2026-09-23T00:31:40,soc-sign-epinions.txt.gz,light,0.5,100000,2,1.7207,0.02
2026-09-23T00:31:41,soc-sign-epinions.txt.gz,loop,0.43,100000,2,1.5635,0.02
2026-09-23T00:31:43,soc-sign-epinions.txt.gz,heavy,0.43,100000,2,1.6074,0.01
2026-09-23T00:31:45,soc-sign-epinions.txt.gz,mid,0.43,100000,2,2.2164,0.01
2026-09-23T00:31:47,soc-sign-epinions.txt.gz,light,0.43,100000,2,1.9957,0.02
2026-09-23T00:31:50,soc-sign-epinions.txt.gz,loop,0.26,100000,2,2.6669,0.02
2026-09-23T00:31:52,soc-sign-epinions.txt.gz,heavy,0.26,100000,2,2.6152,0.02
2026-09-23T00:31:56,soc-sign-epinions.txt.gz,mid,0.26,100000,2,3.8001,0.03
2026-09-23T00:31:59,soc-sign-epinions.txt.gz,light,0.26,100000,2,3.4817,0.06
