pos,vertex,degree,p_size,cliques,seconds
430,117163,1,1,1,2.277000021422282e-06
431,117171,1,1,1,2.296001184731722e-06
432,2487,1,1,1,1.983000402105972e-06
433,108990,1,1,1,1.981999957934022e-06
434,108992,1,1,1,2.4559994926676154e-06
435,10715,1,1,1,2.3669999791309237e-06
436,2535,1,1,1,2.2130006982479244e-06
437,10729,1,1,1,2.1220002963673323e-06
438,109037,1,1,1,2.3040011001285166e-06
439,84464,1,1,1,2.0469997252803296e-06
440,80472,1,0,0,1.4319994079414755e-06
441,18953,1,1,1,2.291999408043921e-06
442,100876,1,1,1,2.335000317543745e-06
443,125455,1,1,1,2.0469997252803296e-06
444,18959,1,1,1,2.1600026229862124e-06
445,125462,1,1,1,2.087999746436253e-06
446,84511,1,1,1,2.04800016945228e-06
447,2591,1,1,1,2.2560016077477485e-06
448,120834,1,0,0,1.453998265787959e-06
449,84513,1,1,1,1.958000211743638e-06
450,84515,1,1,1,2.0560000848490745e-06
451,117290,1,1,1,2.16899934457615e-06
452,100912,1,1,1,2.6329980755690485e-06
453,117308,1,1,1,2.2360000002663583e-06
454,2627,1,1,1,1.8160026229452342e-06
455,51779,1,1,1,2.1269988792482764e-06
456,27221,1,1,1,2.0080005924683064e-06
457,2648,1,1,1,2.2469976102001965e-06
458,27224,1,1,1,2.3940010578371584e-06
459,43614,1,1,1,2.134001988451928e-06
460,27244,1,1,1,2.1220002963673323e-06
461,92791,1,1,1,2.430002496112138e-06
462,100993,1,1,1,2.2669992176815867e-06
463,19077,1,1,1,2.0560000848490745e-06
464,60059,1,1,1,3.7680001696571708e-06
465,68261,1,1,1,2.315999154234305e-06
466,27302,1,1,1,2.492997737135738e-06
467,27304,1,1,1,2.2809981601312757e-06
468,60076,1,1,1,2.354001480853185e-06
469,76465,1,1,1,2.143999154213816e-06
470,101054,1,1,1,2.267999661853537e-06
471,117442,1,1,1,1.9990002328995615e-06
472,12545,1,0,0,1.4610013749916106e-06
473,117446,1,1,1,2.153999957954511e-06
474,60107,1,1,1,2.0510015019681305e-06
475,51969,1,1,1,2.1650012058671564e-06
476,80112,1,0,0,1.5570003597531468e-06
477,84741,1,1,1,2.3329994291998446e-06
478,19207,1,1,1,1.953998435055837e-06
479,51983,1,1,1,2.192002284573391e-06
480,109334,1,1,1,2.0080005924683064e-06
481,109341,1,1,1,2.333999873371795e-06
482,52132,1,0,0,1.4879988157190382e-06
483,11039,1,1,1,2.157998096663505e-06
484,63174,1,0,0,1.4379984349943697e-06
485,92963,1,1,1,2.354001480853185e-06
486,71299,1,0,0,1.4939978427719325e-06
487,2858,1,1,1,2.1129999367985874e-06
488,12205,1,0,0,1.4229990483727306e-06
489,101181,1,1,1,2.20600122702308e-06
490,101182,1,1,1,2.3809989215806127e-06
491,101190,1,1,1,2.053999196505174e-06
492,125768,1,1,1,2.3649990907870233e-06
493,93005,1,1,1,2.3319989850278944e-06
494,76624,1,1,1,2.410997694823891e-06
495,84817,1,1,1,1.939002686413005e-06
496,76643,1,1,1,1.967000571312383e-06
497,101219,1,1,1,2.0410006982274354e-06
498,109416,1,1,1,2.6429988793097436e-06
499,109418,1,1,1,2.335997123736888e-06
500,68472,1,1,1,2.007000148296356e-06
501,19342,1,1,1,2.2269996406976134e-06
502,15635,1,0,0,1.4879988157190382e-06
503,60313,1,1,1,2.701999619603157e-06
504,52137,1,1,1,2.296001184731722e-06
505,27561,1,1,1,2.2610001906286925e-06
506,126934,1,0,0,1.4210017980076373e-06
507,93099,1,1,1,2.872999175451696e-06
508,60332,2,1,1,2.7579990273807198e-06
509,121149,1,0,0,1.4759971236344427e-06
510,2989,1,1,1,2.225999196525663e-06
511,72605,1,0,0,1.4729994290973991e-06
512,60337,1,1,1,2.153999957954511e-06
513,27575,1,1,1,2.4080000002868474e-06
514,76751,1,1,1,2.1660016500391066e-06
515,19411,1,1,1,2.043998392764479e-06
516,101344,1,1,1,3.5190023481845856e-06
517,23705,1,0,0,1.6049998521339148e-06
518,19436,1,1,1,0.00026307999723940156
519,19445,1,1,1,5.3820003813598305e-06
520,27638,1,1,1,2.511002094252035e-06
521,27641,1,1,1,2.459000825183466e-06
522,36910,1,0,0,1.6710000636521727e-06
523,109564,1,1,1,2.6720008463598788e-06
524,101379,1,1,1,2.4330001906491816e-06
525,19480,1,1,1,2.7080022846348584e-06
526,3105,1,1,1,1.9840008462779224e-06
527,3108,1,1,1,1.9239996618125588e-06
528,35882,1,1,1,2.725999365793541e-06
529,44075,1,1,1,6.729002052452415e-06
530,44083,1,1,1,2.5459994503762573e-06
531,117813,1,1,1,2.2660024114884436e-06
532,117818,1,1,1,2.5039989850483835e-06
533,3138,1,1,1,2.587999915704131e-06
534,3142,1,1,1,2.1859996195416898e-06
535,3151,1,1,1,2.2569984139408916e-06
536,101461,1,1,1,2.2170024749357253e-06
537,101462,1,1,1,2.511998900445178e-06
538,63861,1,0,0,1.4500001270789653e-06
539,93275,1,1,1,2.387001586612314e-06
540,101467,1,1,1,2.3229986254591495e-06
541,126045,1,1,1,2.730001142481342e-06
542,27743,1,1,1,1.9379986042622477e-06
543,3169,1,1,1,2.868997398763895e-06
544,104523,1,0,0,1.3809985830448568e-06
545,85104,1,1,1,2.2000021999701858e-06
546,29422,1,0,0,1.3739991118200123e-06
547,35954,1,1,1,1.996999344555661e-06
548,35958,1,1,1,2.2460008040070534e-06
549,109696,1,1,1,2.2940002963878214e-06
550,52357,1,1,1,2.249002136522904e-06
