pos,vertex,degree,p_size,cliques,seconds
2101,19255,2,1,0,2.1460000425577164e-06
2102,67321,4,2,2,5.625999619951472e-06
2103,75515,2,2,1,4.224999429425225e-06
2104,83736,2,2,1,3.6390010791365057e-06
2105,1820,2,2,1,3.2569987524766475e-06
2106,1825,2,2,1,3.3809992601163685e-06
2107,34601,2,2,1,3.2999996619764715e-06
2108,75569,2,2,1,3.4760014386847615e-06
2109,62602,2,1,0,1.7560014384798706e-06
2110,75570,2,2,1,3.5660013963934034e-06
2111,1847,2,2,1,3.2859970815479755e-06
2112,53360,2,1,0,1.7699967429507524e-06
2113,21373,2,0,0,1.6939993656706065e-06
2114,1850,2,2,1,3.3579999580979347e-06
2115,10062,2,2,2,6.969999958528206e-06
2116,26449,2,2,1,3.7239988159853965e-06
2117,83798,2,2,1,3.339999238960445e-06
2118,18263,2,2,1,3.4389995562378317e-06
2119,89100,2,1,0,1.857999450294301e-06
2120,51033,2,2,1,3.465000190772116e-06
2121,35151,2,1,0,1.7759994079824537e-06
2122,26457,2,2,1,3.3420001273043454e-06
2123,10073,2,2,1,3.249999281251803e-06
2124,51037,2,2,1,3.4330005291849375e-06
2125,59233,2,2,1,3.203000233042985e-06
2126,75617,2,2,1,3.5140001273248345e-06
2127,26467,2,2,1,3.4559998312033713e-06
2128,26470,2,2,1,2.9620023269671947e-06
2129,59239,2,2,1,3.4950026019942015e-06
2130,51057,2,2,1,3.302000550320372e-06
2131,75638,2,2,1,3.406999894650653e-06
2132,88103,2,1,0,1.8979990272782743e-06
2133,1926,2,2,1,3.975997969973832e-06
2134,51080,2,2,1,3.0750015866942704e-06
2135,51084,2,2,1,3.46999877365306e-06
2136,51090,2,2,1,3.4389995562378317e-06
2137,51100,2,2,1,3.1480012694373727e-06
2138,42927,2,2,1,3.244000254198909e-06
2139,59318,2,2,1,3.0840019462630153e-06
2140,42938,2,2,1,3.450000804150477e-06
2141,18379,2,2,1,3.293000190751627e-06
2142,67601,2,1,0,1.8399987311568111e-06
2143,34771,2,2,1,3.3280011848546565e-06
2144,26583,2,2,2,3.6890014598611742e-06
2145,71460,3,1,1,3.2579991966485977e-06
2146,10200,2,2,1,3.863999154418707e-06
2147,10201,2,2,1,3.273002221249044e-06
2148,67552,2,2,1,3.1960007618181407e-06
2149,22177,2,1,0,1.7529964679852128e-06
2150,26606,2,2,1,3.38800236932002e-06
2151,26607,2,2,1,3.19299942930229e-06
2152,51191,2,2,1,3.510998794808984e-06
2153,34812,2,2,1,3.197998012183234e-06
2154,72212,2,1,0,1.7319980543106794e-06
2155,30245,2,0,0,1.6069971024990082e-06
2156,34823,2,2,1,3.0800001695752144e-06
2157,83980,2,2,1,3.873999958159402e-06
2158,34840,2,2,1,3.9669976104050875e-06
2159,83996,2,2,1,3.126002411590889e-06
2160,13099,2,1,0,1.6920021153055131e-06
2161,63709,2,0,0,1.6529993445146829e-06
2162,18461,3,2,1,4.05999890062958e-06
2163,75809,2,2,1,3.4999975468963385e-06
2164,51237,2,2,2,4.118999640922993e-06
2165,2086,2,2,1,3.4759978007059544e-06
2166,2091,2,2,2,3.592998837120831e-06
2167,20488,2,1,1,2.8479989850893617e-06
2168,34859,2,2,1,3.3610012906137854e-06
2169,5298,2,1,0,1.8129976524505764e-06
2170,51249,2,2,1,3.1999989005271345e-06
2171,48124,2,1,0,1.8410028133075684e-06
2172,51251,2,0,0,1.6750018403399736e-06
2173,51252,2,2,1,3.078999725403264e-06
2174,18485,2,2,1,3.355002263560891e-06
2175,18487,2,2,1,3.5180019040126354e-06
2176,59447,3,2,1,4.453002475202084e-06
2177,10299,2,2,1,3.6059973353985697e-06
2178,31877,4,1,0,2.387001586612314e-06
2179,51263,2,2,2,5.764999514212832e-06
2180,67662,2,2,1,3.6089986679144204e-06
2181,10325,2,2,1,3.496999852359295e-06
2182,81390,2,1,0,1.7509992176201195e-06
2183,59478,2,2,1,3.4479999158065766e-06
2184,43097,2,2,1,3.3270007406827062e-06
2185,43100,2,2,1,3.2419993658550084e-06
2186,51307,2,2,1,3.463999746600166e-06
2187,51322,2,1,0,1.8409991753287613e-06
2188,51315,4,2,1,4.538000212050974e-06
2189,8056,2,1,0,1.9370017980691046e-06
2190,51318,3,2,1,3.659999492811039e-06
2191,59511,2,2,1,2.953998773591593e-06
2192,59514,2,2,1,3.7280005926731974e-06
2193,59516,2,2,1,3.3079995773732662e-06
2194,2175,2,2,1,3.197998012183234e-06
2195,67711,2,2,1,3.864999598590657e-06
2196,49084,2,1,0,1.8370010366197675e-06
2197,34945,2,2,1,3.4420008887536824e-06
2198,2178,3,2,1,3.798002580879256e-06
2199,11213,2,1,0,1.7309976101387292e-06
2200,67718,2,2,1,3.449000359978527e-06
2201,67720,2,2,1,3.46999877365306e-06
2202,51348,2,2,1,3.411001671338454e-06
2203,15868,2,1,0,1.69699706020765e-06
2204,10393,2,2,1,3.7680001696571708e-06
2205,51356,2,2,1,3.2369971449952573e-06
2206,51358,2,2,1,3.696997737279162e-06
2207,18592,2,2,1,3.839999408228323e-06
2208,75943,2,2,2,4.100998921785504e-06
2209,43178,2,2,1,3.340999683132395e-06
2210,59584,2,2,1,3.3520009310450405e-06
2211,29914,2,1,0,1.9459985196590424e-06
2212,51398,2,2,1,3.4039985621348023e-06
2213,51402,2,2,1,3.5810007830150425e-06
2214,35022,2,2,1,2.9670009098481387e-06
2215,75982,2,2,1,3.6769997677765787e-06
2216,71109,2,1,0,1.8790015019476414e-06
2217,10451,2,2,1,3.363998985150829e-06
2218,10454,2,2,1,3.287001163698733e-06
2219,10518,2,1,0,1.7469974409323186e-06
2220,12210,3,1,1,2.829998265951872e-06
2221,51415,2,2,1,3.2669995562173426e-06
2222,2266,2,2,1,3.4799995773937553e-06
2223,43228,2,2,2,3.850000211969018e-06
2224,77486,2,1,1,2.549000782892108e-06
2225,10464,2,2,1,4.180001269560307e-06
2226,51427,2,2,1,3.245000698370859e-06
2227,29645,2,1,0,1.7809979908633977e-06
2228,51428,2,2,1,3.2989992178045213e-06
2229,51431,2,1,0,1.686999894445762e-06
2230,18665,2,2,2,3.6940000427421182e-06
2231,35051,2,2,1,3.550001565599814e-06
2232,59629,2,2,1,3.2099997042678297e-06
2233,3752,2,1,0,1.791999238776043e-06
2234,60672,3,1,1,3.0199989851098508e-06
